date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:08	81332/81332	---M--	200	added ('OK')	application/font-woff	etag:%2213db4-60a63eac-e9802f7c6950476a;;;%22	https://gestao.co.in/assets/frontend/default/fonts/Simple-Line-Icons.woff?v=2.4.0	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/fonts/Simple-Line-Iconsb26c.woff	(from https://gestao.co.in/assets/frontend/default/css/simple-line-icons.css)
12:27:09	239045/239045	---M-Z	200	added ('OK')	image/svg+xml	etag:%223a5c5-60a63eab-8e8b68cd6e90e2c8;gz%22	https://gestao.co.in/assets/frontend/default/fonts/Simple-Line-Icons.svg?v=2.4.0	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/fonts/Simple-Line-Iconsb26c.svg	(from https://gestao.co.in/assets/frontend/default/css/simple-line-icons.css)
12:27:09	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-60a63eae-824164aa4a284ee1;;;%22	https://gestao.co.in/assets/frontend/default/fonts/themify.eot?-fvbane	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/fonts/themify9f24.eot	(from https://gestao.co.in/assets/frontend/default/css/themify-icons.css)
12:27:09	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-60a63eae-824164aa4a284ee1;;;%22	https://gestao.co.in/assets/frontend/default/fonts/themify.eot?	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/fonts/themifyd41d.eot	(from https://gestao.co.in/assets/frontend/default/css/themify-icons.css)
12:27:09	56108/56108	---M--	200	added ('OK')	application/font-woff	etag:%22db2c-60a63eb0-c6169eb94067c1c8;;;%22	https://gestao.co.in/assets/frontend/default/fonts/themify.woff?-fvbane	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/fonts/themify9f24.woff	(from https://gestao.co.in/assets/frontend/default/css/themify-icons.css)
12:27:10	78584/78584	---M--	200	added ('OK')	application/x-font-ttf	etag:%22132f8-60a63eaf-6a93b115c258775b;;;%22	https://gestao.co.in/assets/frontend/default/fonts/themify.ttf?-fvbane	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/fonts/themify9f24.ttf	(from https://gestao.co.in/assets/frontend/default/css/themify-icons.css)
12:27:11	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22207aa-60a63eb8-5828929b1eafd232;;;%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-brands-400.eot	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
12:27:11	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	etag:%223931d-60a63eaf-f4f2799bca903295;gz%22	https://gestao.co.in/assets/frontend/default/fonts/themify.svg?-fvbane	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/fonts/themify9f24.svg	(from https://gestao.co.in/assets/frontend/default/css/themify-icons.css)
12:27:11	76612/76612	---M--	200	added ('OK')	font/woff2	etag:%2212b44-60a63eba-1f54cc18c71588fd;;;%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-brands-400.woff2	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
12:27:11	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22207aa-60a63eb8-5828929b1eafd232;;;%22	https://gestao.co.in/assets/frontend/default/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/webfonts/fa-brands-400d41d.eot	(from https://gestao.co.in/assets/frontend/default/css/font-awesome.min.css)
